feature_id,area,surface,user_story,expected_behavior,current_status,test_method,evidence,issues
MATCH-06,Matchup,Lineup controls,"As a manager, I can inspect my starters and bench, apply swaps, and build a two-player compare selection.","Lineup rows should support row-tap compare selection, accessibility labels, selected state, compact starter-swap chips, and correct row state for starters, bench players, and applied alternates.",pass,code+browser,src/pages/MatchupPage.tsx; src/pages/MatchupPage.css; src/hooks/useMatchupEngine.ts,Standalone Who do I start button removed; starter upgrade rows now use compact positive-delta chips that open the existing verdict sheet while rows remain the compare affordance.
MATCH-07,Matchup,Start/sit slip,"As a manager, I can pick exactly two players and compare them.","The compare slip should manage two picks, remove picks, open the compare verdict, and avoid promising multi-player ranking until that feature ships.",pass,code+browser,"src/pages/MatchupPage.tsx; src/hooks/useMatchupEngine.ts","Compare selection is capped at two players and copy now reads Pick two players to compare."
MATCH-08,Matchup,Compare verdict sheet,"As a manager, I can see a verdict for a real swap or a synthetic side-by-side comparison.","The compare sheet should show the winning player, delta headline, projections, Franco weekly floor/median/ceiling bands when available, profile tags, and swap lines only when the players are legally swappable.",pass,code+browser,src/pages/MatchupPage.tsx; src/hooks/useMatchupEngine.ts; src/utils/matchupDelta.ts; src/utils/volatilityProfile.ts,"Verdict sheet now renders live game_level range bands and volatility profile tags; variance persuasion copy is suppressed until engine deltas consume per-player bands."
MATCH-09,Matchup,Player detail drawer,"As a manager, I can open a player detail drawer from lineup contexts.","The drawer should show player bio/status/game context/recent games/news, close via scrim or escape, and highlight the originating slot when launched from a compare context.",pass,code+browser,"src/contexts/PlayerDetailContext.tsx; src/components/player/PlayerDetailPanel.tsx","Verified through trade-target and rankings surfaces; matchup itself does not currently open the drawer."
MATCH-10,Matchup,Weekly recap card,"As a demo user, I can review and dismiss/share the recap card.","The recap card should render only on the demo/non-connected flow, support dismissal, and attempt a share interaction when requested.",pass,code+browser,"src/pages/MatchupPage.tsx; src/utils/share.ts","Clipboard-share fallback and post-dismiss reload persistence are browser-verified."
SEASON-01,Season,Season headline,"As a manager, I can see my season futures headline and pricing caveats.","The Season route should redirect into League's Futures subview, where the existing season headline shows title odds, playoff probability, and record/projected-record labeling.",pass,code+browser,"src/pages/SeasonPage.tsx; src/pages/LeaguePage.tsx; src/components/season/SeasonHeadline.tsx",/season now redirects to /league?view=futures; the existing SeasonHeadline component is mounted under League Futures.
SEASON-02,Season,Schedule grid and week modal,"As a manager, I can open any schedule week and inspect that projected matchup.","The League Schedule subview should render real schedule data when present and open the existing modal with opponent, odds, win probability, spread, or a not-priced-yet explanation.",partial,code+browser,"src/pages/LeaguePage.tsx; src/components/season/ScheduleGrid.tsx; src/components/season/WeekDetailModal.tsx","Schedule content moved under League without changing child components; full connected modal verification still needs live browser proof."
SEASON-03,Season,Preseason fallback,"As a pre-draft/demo user, I can still view preseason season artifacts.","Without connected season data, League Futures/Schedule should fall back to mock headline, draft-wrapped card, and preseason schedule grid.",pass,code+browser,"src/pages/LeaguePage.tsx",Demo season artifacts are mounted under League Futures and Schedule after the Season-to-League merge.
SEASON-04,Season,Draft wrapped share,"As a preseason/demo user, I can share my draft wrapped summary.","The draft wrapped card should expose a working share action and fall back to clipboard when native share is unavailable.",pass,code+browser,"src/pages/LeaguePage.tsx; src/components/season/DraftWrappedCard.tsx; src/utils/share.ts",DraftWrappedCard is now mounted from League Futures in fallback mode.
TRADE-01,Trade,Trade page fallback,"As a user without connected league pricing, I still see a trade-target teaser experience.","When bootstrap/user/stored data are missing, the trade page should fall back to mock trade-target lists instead of a broken builder.",pass,code+browser,"src/pages/TradePage.tsx",
TRADE-02,Trade,Redraft-only guard,"As a dynasty or keeper manager, I get an honest unsupported-mode notice.","Non-redraft leagues should hide the trade command center and show a clear explanatory notice.",blocked,code+browser,"src/pages/TradePage.tsx; src/components/layout/BottomTabBar.tsx","Blocked on a live non-redraft bootstrap fixture."
TRADE-03,Trade,Deal lanes,"As a redraft manager, I can load suggested trade lanes into the builder.","Suggested lanes should populate partner, give/get players, and reset stale pricing state.",pass,code+browser,"src/pages/TradePage.tsx; server/engine/engine.js","Live connected-league verified: suggested lanes now share the same starter-impact evaluation as trade pricing, so contradictory lanes are filtered out before render. On avla's Team, the page now shows the honest empty state instead of surfacing lanes like George Pickens -> Derrick Henry that price at `-0.1 pts/wk to starters` for the user."
TRADE-04,Trade,Roster builder,"As a manager, I can search rosters, select assets on both sides, and choose a trade partner.","The builder should order starters before bench, filter by search, let me select/deselect players, and gate pricing until both sides are valid.",pass,code+browser,"src/pages/TradePage.tsx","Live connected-league verified: partner selection, synced roster loading, give/get asset selection, and pricing gating all work in the real command-center builder, including manual recreation of the formerly suggested Pickens/Henry and Kyren/Zay swaps."
TRADE-05,Trade,Manager scouting dials,"As a manager, I can adjust partner negotiation traits and have acceptance pricing re-run.","Negotiator, deal appetite, and fandom inputs should update trade acceptance pricing after a priced result exists.",blocked,code+browser,"src/pages/TradePage.tsx","Blocked on a real bootstrap/pricing payload."
TRADE-06,Trade,Pricing verdict,"As a manager, I can price a trade and understand fairness, acceptance odds, counters, and roster fit.","Pricing should render verdict tone, fairness rail, acceptance band, suggested counter packages, value deltas, title-odds context, reasons, and depth warnings.",pass,code+browser,"src/pages/TradePage.tsx; src/services/leagueApi.ts; server/engine/engine.js","Live connected-league verified: pricing on synced rosters renders the full verdict rail and now agrees with surfaced lane claims because both read the same starter-impact math. Manual pricing of the old contradictory lanes returned `-0.1 pts/wk` for Pickens -> Henry and `-1.3 pts/wk` for Kyren Williams -> Zay Flowers, which is why those lanes are now suppressed."
BOARD-01,My Board,Board loading and saved sets,"As a manager, I can load Franco's board and manage named personal board sets.","The board should fetch rankings, surface Franco baseline/version info, persist sets locally/remotely, and allow create/rename/delete/switch operations.",pass,code+browser,src/pages/MyBoardPage.tsx; src/contexts/ModelOverlayContext.tsx,Board header now shows compact baseline/status metadata and a static Baseline/Active/Stale chip.
BOARD-02,My Board,Board editing,"As a manager, I can filter the board, inspect players, change projections, and reset overrides.","Board mode should support position filtering, expansion, per-player overrides, flag/reset behavior, last-edited status metadata, and drive overlay updates back into league pricing.",partial,code+browser,src/pages/MyBoardPage.tsx; src/pages/MyBoardPage.css; src/contexts/ModelOverlayContext.tsx,Board edits now persist a per-board last-edited timestamp going forward; existing edited boards show Last edited: — until the next edit.
BOARD-03,My Board,Rapid fire,"As a manager, I can reshape my board through rapid-fire pairwise choices.","Rapid fire should build pairs once per session, support tap/keyboard picks, skip/back actions, conviction levels, and a completion summary.",partial,code+browser,"src/pages/MyBoardPage.tsx","Browser-verified reachability plus pick/back/skip flow; `Fresh slate` now regenerates pairs instead of replaying the same deck, but a full completion-summary browser proof pass still needs more time."
LEAGUE-01,League,League overview state handling,"As a user, I can view a connected league or a demo fallback from the league tab.","The league page should show URL-backed subviews for This week, Futures, Schedule, and Settings while preserving connected notices/errors/loading states and demo fallback content.",partial,code+browser,"src/pages/LeaguePage.tsx","League now owns the merged market shell and /season redirects into Futures; a fully healthy connected-league browser sweep is still needed."
LEAGUE-02,League,Futures and slate,"As a manager, I can browse league-wide futures markets, my season futures, the full weekly slate, and my schedule.","Futures should support champion/finals/playoffs sorting and cutoff labeling; This week should price the slate; Schedule should mount the existing week grid/modal.",partial,code+browser,"src/pages/LeaguePage.tsx; src/components/league/LeagueFutures.tsx; src/components/league/MatchupSlate.tsx; src/components/season/ScheduleGrid.tsx","League/Season content is consolidated into URL-backed subviews without modifying Futures internals; live connected visual parity still needs browser proof."
LEAGUE-03,League,League settings actions,"As a manager, I can inspect league settings, switch leagues, or disconnect.","The Settings subview should show connected-team/platform/scoring/roster metadata and fire switch/disconnect actions.",partial,code+browser,"src/components/league/LeagueSettings.tsx; src/pages/LeaguePage.tsx","Settings moved under the League Settings subview; full connected-state switch/disconnect proof is still needed."
MORE-01,More,Account card,"As a signed-in user, I can see my account identity and log out from the More page.","The account module should show the current email and execute sign-out.",pass,code+browser,"src/pages/MorePage.tsx",
MORE-02,More,League summary card,"As a user, I can inspect current league context or deep-link into connection flow.","With a connected league, the card should summarize synced league identity; without one, it should invite connection and navigate to the league connect flow.",pass,code+browser,"src/pages/MorePage.tsx",
MORE-03,More,Seasonal tools links,"As a user, I can navigate to draft tools, board/rankings, and projections admin from More.","The More page should render grouped destinations for tools, league, help, and account, including Draft tools, Projections, Projections admin, league management, and How this works.",pass,code+browser,src/pages/MorePage.tsx,More no longer explains the nav IA; Projections and How this works are reachable from grouped destination cards.
DRAFT-01,Draft,Draft slot odds,"As a user, I can inspect championship odds by draft slot and shift the lens by league style.","The draft slot grid should respond to style toggles, allow slot selection, highlight the best slot, and render odds/probability/projected record for each pick.",pass,code+browser,"src/pages/DraftPage.tsx; src/components/draft/DraftSlotGrid.tsx; src/utils/share.ts",
DRAFT-02,Draft,Player availability,"As a user, I can search a player and estimate whether they make it back to my pick.","Player search, pick-number input, and league-style toggles should compute availability odds and explanatory copy for the selected player.",pass,code+browser,"src/components/draft/PlayerAvailability.tsx; src/components/draft/PlayerSearch.tsx",
DRAFT-03,Draft,Rankings CTA,"As a user, I can jump from draft tools into my board/rankings workflow.","The draft CTA should navigate to /rankings from the draft surface.",pass,code+browser,"src/pages/DraftPage.tsx",
ADMIN-01,Admin,Owner sign-in,"As an owner, I can access the projections admin behind a password gate.","The admin page should hold on the password form until the server accepts the admin header and should show a friendly rejection message on 401.",pass,code+browser,"src/pages/AdminProjectionsPage.tsx; server/routes/admin.js",
ADMIN-02,Admin,Projection import,"As an owner, I can select Franco workbooks, import them, and resolve unmatched players.","The import flow should accept multiple XLSX files, show status text, surface unmatched rows/candidates, and support re-import with confirmed resolutions.",partial,code+api+browser,"src/pages/AdminProjectionsPage.tsx; server/routes/admin.js","A generated Franco-style QB workbook successfully imported through the API, surfaced one unmatched player, and re-imported cleanly with a confirmed resolution; browser verification covered sign-in and history display, but the actual file-picker/status UI path was not fully driven in-browser on this surface."
ADMIN-03,Admin,Import history rollback,"As an owner, I can inspect projection history and roll back to an earlier version.","Version history should mark the active import and allow activating another version through the rollback action.",pass,code+api+browser,"src/pages/AdminProjectionsPage.tsx; server/routes/admin.js","Rollback API call restored `franco-2026-06-12-5` as active, and the admin page shows the correct Active chip in browser."
CODE-01,Code health,Dead route/component inventory,"As a maintainer, I know whether there are routed features or components that are no longer reachable.","The audit should confirm whether shipped routes map to the intended pages and note any unreachable or superseded code paths that can mislead future maintenance.",pass,code,"src/App.tsx; src/pages/MyBoardPage.tsx",
SHELL-06,Shell,Header navigation gating,"As a signed-in user without a connected league, I should not be teased with tabs that just bounce me back to connect.","Locked app tabs should either be hidden/disabled until a league is connected, or clearly explain why they are unavailable instead of silently redirecting back to /connect.",pass,code+browser,"src/components/layout/AppHeader.tsx; src/components/layout/BottomTabBar.tsx; src/App.tsx","Browser-verified with a fresh signed-in account after the fix: the no-league shell now shows a single Connect nav target instead of teasing locked app tabs that bounce back to /connect."
